,intent,snip
1195,How to get a variable name as a string in Python?,"dict((name, eval(name)) for name in ['some', 'list', 'of', 'vars'])"
1196,How to add a colorbar for a hist2d plot,"plt.colorbar(im, ax=ax)"
1197,How to get every element in a list of list of lists?,[a for c in Cards for b in c for a in b]
1198,Sorting dictionary keys in python,"sorted(d, key=d.get)"
1199,How to count the number of occurences of `None` in a list?,print(len([x for x in lst if x is not None]))
1200,Accessing dictionary by key in Django template,{{json.key1}}
1201,Get unique values from a list in python,mynewlist = list(myset)
1202,Get unique values from a list in python,"set(['a', 'b', 'c', 'd'])"
1203,Python: A4 size for a plot,"figure(figsize=(11.69, 8.27))"
1204,How to get everything after last slash in a URL?,"url.rsplit('/', 1)"
1205,How to get everything after last slash in a URL?,"url.rsplit('/', 1)[-1]"
1206,how to read a file in other directory in python,"x_file = open(os.path.join(direct, '5_1.txt'), 'r')"
1207,How to create a list with the characters of a string?,list('5+6')
1208,Flattening a list of NumPy arrays?,np.concatenate(input_list).ravel().tolist()
1209,Converting a dict into a list,print([y for x in list(dict.items()) for y in x])
1210,Converting a dict into a list,[y for x in list(dict.items()) for y in x]
1211,How to pull a random record using Django's ORM?,MyModel.objects.order_by('?').first()
1212,change current working directory in python,os.chdir('chapter3')
1213,change current working directory in python,os.chdir('C:\\Users\\username\\Desktop\\headfirstpython\\chapter3')
1214,change current working directory in python,os.chdir('.\\chapter3')
1215,How to create single Python dict from a list of dicts by summing values with common keys?,"dict((key, sum(d[key] for d in dictList)) for key in dictList[0])"
1216,How to sort pandas data frame using values from several columns?,"df.sort(['c1', 'c2'], ascending=[True, True])"
1217,Converting string series to float list,floats = [float(x) for x in s.split()]
1218,Converting string series to float list,"floats = map(float, s.split())"
1219,"How to set ""step"" on axis X in my figure in matplotlib python 2.6.6?","plt.xticks([1, 2, 3, 4, 5])"
1220,read from stdin,for line in fileinput.input():\n    pass
1221,read from stdin,for line in sys.stdin:\n    pass
1222,How to check if a value exists in a dictionary (python),'one' in list(d.values())
1223,How to check if a value exists in a dictionary (python),'one' in iter(d.values())
1224,Calling a parent class constructor from a child class in python,"super(Instructor, self).__init__(name, year)"
1225,how to create a dictionary using two lists in python?,"dict(zip(x, y))"
1226,Sorting a list of dicts by dict values,"sorted(a, key=lambda i: list(i.values())[0], reverse=True)"
1227,Sorting a list of dicts by dict values,"sorted(a, key=dict.values, reverse=True)"
1228,pandas: how to do multiple groupby-apply operations,"df.groupby(level=0).agg(['sum', 'count', 'std'])"
1229,How to add multiple values to a dictionary key in python?,"a.setdefault('somekey', []).append('bob')"
1230,Python - sum values in dictionary,sum(item['gold'] for item in example_list)
1231,Python - sum values in dictionary,sum([item['gold'] for item in example_list])
1232,Python - sum values in dictionary,sum(item['gold'] for item in myLIst)
1233,writing string to a file on a new line everytime?,f.write('text to write\n')
1234,writing string to a file on a new line everytime?,file.write('My String\n')
1235,Finding consecutive segments in a pandas data frame,df.reset_index().groupby('A')['index'].apply(np.array)
1236,Python - how to refer to relative paths of resources when working with code repository,"fn = os.path.join(os.path.dirname(__file__), 'my_file')"
1237,How to retrieve an element from a set without removing it?,e = next(iter(s))
1238,How to execute a command prompt command from python,os.system('dir c:\\')
1239,How to auto-scroll a gtk.scrolledwindow?,"self.treeview.connect('size-allocate', self.treeview_changed)"
1240,Python: Find in list,"3 in [1, 2, 3]"
1241,Convert date format python,"datetime.datetime.strptime('10/05/2012', '%d/%m/%Y').strftime('%Y-%m-%d')"
1242,python : how to convert string literal to raw string literal?,"s = s.replace('\\', '\\\\')"
1243,Get output of python script from within python script,print(proc.communicate()[0])
1244,Getting pandas dataframe from list of nested dictionaries,"pd.concat([pd.DataFrame(l) for l in my_list], axis=1).T"
1245,Delete Column in Pandas based on Condition,"df.loc[:, ((df != 0).any(axis=0))]"
1246,How to sort multidimensional array by column?,"sorted(a, key=lambda x: x[1])"
1247,string to list conversion in python,"[x.strip() for x in s.split(',')]"
1248,Get list item by attribute in Python,items = [item for item in container if item.attribute == value]
1249,Python: Write a list of tuples to a file,"open('filename', 'w').write('\n'.join('%s %s' % x for x in mylist))"
1250,Python regex to match multiple times,"pattern = re.compile('(?:review: )?(http://url.com/(\\d+))\\s?', re.IGNORECASE)"
1251,How do I read a text file into a string variable in Python,"str = open('very_Important.txt', 'r').read()"
1252,Grouping dataframes in pandas?,"df.groupby(['A', 'B'])['C'].unique()"
1253,read a file line by line into a list,with open(fname) as f:\n    content = f.readlines()
1254,read a file line by line into a list,with open('filename') as f:\n    lines = f.readlines()
1255,read a file line by line into a list,lines = [line.rstrip('\n') for line in open('filename')]
1256,read a file line by line into a list,"with open('file.txt', 'r') as ins:\n    array = []\n    for line in ins:\n        array.append(line)"
1257,Convert DataFrame column type from string to datetime,df['col'] = pd.to_datetime(df['col'])
1258,Can a list of all member-dict keys be created from a dict of dicts using a list comprehension?,[k for d in list(foo.values()) for k in d]
1259,Possible to get user input without inserting a new line?,"print('Hello, {0}, how do you do?'.format(input('Enter name here: ')))"
1260,Create Pandas DataFrame from txt file with specific pattern,"df = pd.read_csv('filename.txt', sep=';', names=['Region Name'])"
1261,Pandas: How can I use the apply() function for a single column?,df['a'] = df['a'].apply(lambda x: x + 1)
1262,How to check whether the system is FreeBSD in a python script?,platform.system()
1263,How to sort python list of strings of numbers,"a = sorted(a, key=lambda x: float(x))"
1264,Finding words after keyword in python,"re.search('name (.*)', s)"
1265,Removing _id element from Pymongo results,"db.collection.find({}, {'_id': False})"
1266,How do you extract a column from a multi-dimensional array?,[row[1] for row in A]
1267,How do you extract a column from a multi-dimensional array?,[row[0] for row in a]
1268,Python - how to sort a list of numerical values in ascending order,"sorted(['10', '3', '2'], key=int)"
1269,How can I tell if a file is a descendant of a given directory?,"os.path.commonprefix(['/the/dir/', os.path.realpath(filename)]) == '/the/dir/'"
1270,Python: How to check a string for substrings from a list?,any(substring in string for substring in substring_list)
1271,Construct pandas DataFrame from list of tuples,"df = pandas.DataFrame(data, columns=['R_Number', 'C_Number', 'Avg', 'Std'])"
1272,How to find and replace nth occurence of word in a sentence using python regular expression?,"re.sub('^((?:(?!cat).)*cat(?:(?!cat).)*)cat', '\\1Bull', s)"
1273,How to find and replace nth occurence of word in a sentence using python regular expression?,"re.sub('^((.*?cat.*?){1})cat', '\\1Bull', s)"
1274,Sort list of strings by integer suffix in python,"sorted(the_list, key=lambda k: int(k.split('_')[1]))"
1275,Sort list of strings by integer suffix in python,"sorted(the_list, key=lambda x: int(x.split('_')[1]))"
1276,How to group similar items in a list?,"[list(g) for _, g in itertools.groupby(test, lambda x: x.split('_')[0])]"
1277,How to group similar items in a list?,"[list(g) for _, g in itertools.groupby(test, lambda x: x.partition('_')[0])]"
1278,How do I use the HTMLUnit driver with Selenium from Python?,driver.get('http://www.google.com')
1279,Using Python's datetime module,(datetime.datetime.utcnow() - datetime.timedelta(hours=11)).year
1280,How to find the difference between 3 lists that may have duplicate numbers,"Counter([1, 2, 2, 2, 3]) - Counter([1, 2])"
1281,How to remove tags from a string in python using regular expressions? (NOT in HTML),"re.sub('<[^>]*>', '', mystring)"
1282,How can I unpack binary hex formatted data in Python?,data.encode('hex')
1283,How to do a less than or equal to filter in Django queryset?,User.objects.filter(userprofile__level__gte=0)
1284,How to use Beautiful Soup to find a tag with changing id?,soup.findAll(id=re.compile('para$'))
1285,How to use Beautiful Soup to find a tag with changing id?,"soup.select('div[id^=""value_xxx_c_1_f_8_a_""]')"
1286,How to delete an item in a list if it exists?,cleaned_list = [x for x in some_list if x is not thing]
1287,user input and commandline arguments,var = input('Please enter something: ')
1288,Add to integers in a list,foo.append(4)
1289,Add to integers in a list,"foo.append([8, 7])"
1290,Add to integers in a list,"x.insert(2, 77)"
1291,Removing white space around a saved image in matplotlib,"plt.savefig('test.png', bbox_inches='tight')"
1292,concatenate lists,(listone + listtwo)
1293,concatenate lists,"for item in itertools.chain(listone, listtwo):\n    pass"
1294,how do you filter pandas dataframes by multiple columns,males = df[(df[Gender] == 'Male') & (df[Year] == 2014)]
1295,How to print backslash with Python?,print('\\')
1296,How to replace values with None in Pandas data frame in Python?,"df.replace('-', np.nan)"
1297,Delete column from pandas DataFrame,"df = df.drop('column_name', 1)"
1298,Delete column from pandas DataFrame,"df.drop(df.columns[[0, 1, 3]], axis=1)"
1299,Delete column from pandas DataFrame,"df.drop('column_name', axis=1, inplace=True)"
1300,Disable abbreviation in argparse,parser = argparse.ArgumentParser(allow_abbrev=False)
1301,Extract dictionary value from column in data frame,feature3 = [d.get('Feature3') for d in df.dic]
1302,How to access pandas groupby dataframe by key,"df.loc[gb.groups['foo'], ('A', 'B')]"
1303,String formatting in Python,"print('[%s, %s, %s]' % (1, 2, 3))"
1304,String formatting in Python,"print('[{0}, {1}, {2}]'.format(1, 2, 3))"
1305,Accessing Python dict values with the key start characters,"[v for k, v in list(my_dict.items()) if 'Date' in k]"
1306,Python date string formatting,"""""""{0.month}/{0.day}/{0.year}"""""".format(my_date)"
1307,Dropping a single (sub-) column from a MultiIndex,"df.drop(('col1', 'a'), axis=1)"
1308,Dropping a single (sub-) column from a MultiIndex,"df.drop('a', level=1, axis=1)"
1309,Build Dictionary in Python Loop - List and Dictionary Comprehensions,{_key: _value(_key) for _key in _container}
1310,How to click on the text button using selenium python,browser.find_element_by_class_name('section-select-all').click()
1311,Python - Combine two dictionaries,"dict((k, d.get(k, '') + d1.get(k, '')) for k in keys)"
1312,How to generate unique equal hash for equal dictionaries?,hash(pformat(a)) == hash(pformat(b))
1313,How to convert nested list of lists into a list of tuples in python 3.3?,"list(map(tuple, [['tom', 'cat'], ['jerry', 'mouse'], ['spark', 'dog']]))"
1314,Summing across rows of Pandas Dataframe,"df.groupby(['stock', 'same1', 'same2'], as_index=False)['positions'].sum()"
1315,Summing across rows of Pandas Dataframe,"df.groupby(['stock', 'same1', 'same2'])['positions'].sum().reset_index()"
1316,change a string into uppercase,s.upper()
1317,Splitting a semicolon-separated string to a dictionary,dict(item.split('=') for item in s.split(';'))
1318,how to set cookie in python mechanize,"br.addheaders = [('Cookie', 'cookiename=cookie value')]"
1319,How to remove square bracket from pandas dataframe,df['value'] = df['value'].str[0]
1320,How to remove square bracket from pandas dataframe,df['value'] = df['value'].str.get(0)
1321,How to remove square bracket from pandas dataframe,df['value'] = df['value'].str.strip('[]')
1322,Python getting a string (key + value) from Python Dictionary,""""""", """""".join(['{}_{}'.format(k, v) for k, v in d.items()])"
1323,Easier way to add multiple list items?,sum(sum(x) for x in lists)
1324,testing whether a Numpy array contains a given row,"any(np.equal(a, [1, 2]).all(1))"
1325,How do I check if all elements in a list are the same?,len(set(mylist)) == 1
1326,How to split a string at line breaks in python?,"[map(int, x.split('\t')) for x in s.rstrip().split('\r\n')]"
1327,Create a hierarchy from a dictionary of lists,"t = sorted(list(a.items()), key=lambda x: x[1])"
1328,Search for string in txt file,if ('blabla' in open('example.txt').read()):\n    pass
1329,Search for string in txt file,"f = open('example.txt')\ns = mmap.mmap(f.fileno(), 0, access=mmap.ACCESS_READ)\nif (s.find('blabla') != (-1)):\n    pass"
1330,Search for string in txt file,datafile = file('example.txt')\nfound = False\nfor line in datafile:\n    if (blabla in line):\n        return True\nreturn False
1331,Replacing the empty strings in a string,"string2.replace('', string1)[len(string1):-len(string1)]"
1332,getting every possible combination in a list,"list(itertools.combinations([1, 2, 3, 4, 5, 6], 2))"
1333,Python 3: How do I get a string literal representation of a byte string?,"""""""x = {}"""""".format(x.decode('utf8')).encode('utf8')"
1334,Checking whether a variable is an integer,"isinstance(x, int)"
1335,Checking whether a variable is an integer,(type(x) == int)
1336,Play a Sound with Python,"winsound.PlaySound('sound.wav', winsound.SND_FILENAME)"
1337,How to get the n next values of a generator in a list (python),[next(it) for _ in range(n)]
1338,How to get the n next values of a generator in a list (python),"list(itertools.islice(it, 0, n, 1))"
1339,How can I compare two lists in python and return matches,set(a).intersection(b)
1340,How can I compare two lists in python and return matches,"[i for i, j in zip(a, b) if i == j]"
1341,How to print a list with integers without the brackets,"print(''.join(map(str, data)))"
1342,python regex: match a string with only one instance of a character,"re.match('\\$[0-9]+[^\\$]*$', '$1 off delicious $5 ham.')"
1343,How to import a module in Python with importlib.import_module,"importlib.import_module('.c', 'a.b')"
1344,How to import a module in Python with importlib.import_module,importlib.import_module('a.b.c')
1345,how to convert 2d list to 2d numpy array?,a = np.array(a)
1346,Python regular expression for Beautiful Soup,"soup.find_all('div', class_=re.compile('comment-'))"
1347,A sequence of empty lists of length n in Python?,[[] for _ in range(n)]
1348,create dictionary from list of variables,"dict((k, globals()[k]) for k in ('foo', 'bar'))"
1349,How to get two random records with Django,MyModel.objects.order_by('?')[:2]
1350,How to use a dot in Python format strings?,"""""""Hello {user[name]}"""""".format(**{'user': {'name': 'Markus'}})"
1351,Python: using a dict to speed sorting of a list of tuples,list_dict = {t[0]: t for t in tuple_list}
1352,Generate random integers between 0 and 9,"randint(0, 9)"
1353,Generate random integers between 0 and 9,"random.randint(a, b)"
1354,Generate random integers between 0 and 9,"print((random.randint(0, 9)))"
1355,Reverse a string in Python two characters at a time (Network byte order),""""""""""""".join(reversed([a[i:i + 2] for i in range(0, len(a), 2)]))"
1356,How to transform a time series pandas dataframe using the index attributes?,"pd.pivot_table(df, index=df.index.date, columns=df.index.time, values='Close')"
1357,How to check if all elements of a list matches a condition?,any(item[2] == 0 for item in items)
1358,How to check if all elements of a list matches a condition?,[x for x in items if x[2] == 0]
1359,Python: sorting dictionary of dictionaries,"sorted(list(dic.items()), key=lambda x: x[1]['Fisher'], reverse=True)"
1360,Logarithmic y-axis bins in python,"plt.yscale('log', nonposy='clip')"
1361,extract digits in a simple way from a python string,"map(int, re.findall('\\d+', s))"
1362,How can I list the contents of a directory in Python?,os.listdir('/home/username/www/')
1363,How can I list the contents of a directory in Python?,os.listdir('path')
1364,How to merge two DataFrames into single matching the column values,"pd.concat([distancesDF, datesDF.dates], axis=1)"
1365,Python How to get every first element in 2 Dimensional List,[x[0] for x in a]
1366,Python How to get every first element in 2 Dimensional List,[i[0] for i in a]
1367,Regular expression to remove line breaks,"re.sub('(?<=[a-z])\\r?\\n', ' ', textblock)"
1368,Reading utf-8 characters from a gzip file in python,"gzip.open('file.gz', 'rt', encoding='utf-8')"
1369,Can Python test the membership of multiple values in a list?,"set(['a', 'b']).issubset(['b', 'a', 'foo', 'bar'])"
1370,Can Python test the membership of multiple values in a list?,"all(x in ['b', 'a', 'foo', 'bar'] for x in ['a', 'b'])"
1371,Remove specific characters from a string,"line.translate(None, '!@#$')"
1372,Remove specific characters from a string,"line = re.sub('[!@#$]', '', line)"
1373,Remove specific characters from a string,"string.replace('1', '')"
1374,Remove specific characters from a string,"a = a.replace(char, '')"
1375,Remove specific characters from a string,"a = a.replace(char, '')"
1376,Remove specific characters from a string,"line = line.translate(string.maketrans('', ''), '!@#$')"
1377,How to binarize the values in a pandas DataFrame?,"pd.concat([df, pd.get_dummies(df, '', '').astype(int)], axis=1)[order]"
1378,Storing a collection of integers in a list,"[3, 4, 1, 2]"
1379,Is it possible to define global variables in a function in Python,globals()['something'] = 'bob'
1380,I'm looking for a pythonic way to insert a space before capital letters,"re.sub('([a-z](?=[A-Z])|[A-Z](?=[A-Z][a-z]))', '\\1 ', text)"
1381,How can I convert Unicode to uppercase to print it?,print('ex\xe1mple'.upper())
1382,Remove string from list if from substring list,[l.split('\\')[-1] for l in list_dirs]
1383,What's the Pythonic way to combine two sequences into a dictionary?,"dict(zip(keys, values))"
1384,How to Customize the time format for Python logging?,formatter = logging.Formatter('%(asctime)s;%(levelname)s;%(message)s')
1385,Python Regex replace,"new_string = re.sub('""(\\d+),(\\d+)""', '\\1.\\2', original_string)"
1386,Can a python script execute a function inside a bash script?,subprocess.call('test.sh otherfunc')
1387,Can a python script execute a function inside a bash script?,"subprocess.Popen(['bash', '-c', '. foo.sh; go'])"
1388,A simple way to remove multiple spaces in a string in Python,""""""" """""".join(foo.split())"
1389,How to convert decimal to binary list in python,list('{0:0b}'.format(8))
1390,How to convert decimal to binary list in python,[int(x) for x in list('{0:0b}'.format(8))]
1391,How to convert decimal to binary list in python,[int(x) for x in bin(8)[2:]]
1392,"Is it possible to take an ordered ""slice"" of a dictionary in Python based on a list of keys?","dict(zip(my_list, map(my_dictionary.get, my_list)))"
1393,Numpy: cartesian product of x and y array points into single array of 2D points,"numpy.dstack(numpy.meshgrid(x, y)).reshape(-1, 2)"
1394,Selenium Webdriver - NoSuchElementExceptions,driver.implicitly_wait(60)
1395,Selenium Webdriver - NoSuchElementExceptions,driver.switch_to_frame('frameName')
1396,Format time string in Python 3.3,time.strftime('{%Y-%m-%d %H:%M:%S}')
1397,How do I sort a Python list of time values?,"sorted(['14:10:01', '03:12:08'])"
1398,Regex for location matching - Python,"re.findall('(?:\\w+(?:\\s+\\w+)*,\\s)+(?:\\w+(?:\\s\\w+)*)', x)"
1399,Pandas: How can I remove duplicate rows from DataFrame and calculate their frequency?,"df1.groupby(['key', 'year']).size().reset_index()"
1400,How do I iterate over a Python dictionary,"sorted(list(dictionary.items()), key=operator.itemgetter(1))"
1401,How do I iterate over a Python dictionary,"sorted(iter(d.items()), key=lambda x: x[1])"
1402,How do I iterate over a Python dictionary,"sorted(list(dictionary.items()), key=lambda x: x[1])"
1403,How to split 1D array into 2D array in NumPy by splitting the array at the last element?,"np.split(a, [-1])"
1404,Python pandas - grouping by and summarizing on a field,"df.pivot(index='order', columns='sample')"
1405,selecting across multiple columns with python pandas?,df[(df['A'] > 1) | (df['B'] < -1)]
1406,Zip with list output instead of tuple,"[list(a) for a in zip([1, 2, 3], [4, 5, 6], [7, 8, 9])]"
1407,Select rows from a DataFrame based on values in a column in pandas,print(df.loc[df['A'] == 'foo'])
1408,Select rows from a DataFrame based on values in a column in pandas,df.loc[df['column_name'] != some_value]
1409,Select rows from a DataFrame based on values in a column in pandas,df.loc[~df['column_name'].isin(some_values)]
1410,Select rows from a DataFrame based on values in a column in pandas,df.loc[df['column_name'] == some_value]
1411,Select rows from a DataFrame based on values in a column in pandas,"print(df.loc[df['B'].isin(['one', 'three'])])"
1412,How to repeat individual characters in strings in Python,""""""""""""".join(map(lambda x: x * 7, 'map'))"
1413,Delete a file or folder,os.rmdir()
1414,Delete a file or folder,"shutil.rmtree(path, ignore_errors=False, onerror=None)"
1415,Delete a file or folder,os.removedirs(name)
1416,How to add an extra row to a pandas dataframe,"df.loc[len(df)] = ['8/19/2014', 'Jun', 'Fly', '98765']"
1417,listing files from a directory using glob python,glob.glob('*')
1418,listing files from a directory using glob python,glob.glob('[!hello]*.txt')
1419,listing files from a directory using glob python,glob.glob('hello*.txt')
1420,test a boolean expression in a Python string,eval('20<30')
1421,Python copy a list of lists,new_list = [x[:] for x in old_list]
1422,Convert scientific notation to decimal - python,"""""""{:.50f}"""""".format(float(a[0] / a[1]))"
1423,How to remove 0's converting pandas dataframe to record,df.to_sparse(0)
1424,python - readable list of objects,print([obj.attr for obj in my_list_of_objs])
1425,get count of values associated with key in dict python,sum(1 if d['success'] else 0 for d in s)
1426,get count of values associated with key in dict python,sum(d['success'] for d in s)
1427,get path from a module name,imp.find_module('os')[1]
1428,get the logical xor of two variables,(bool(a) != bool(b))
1429,get the logical xor of two variables,((a and (not b)) or ((not a) and b))
1430,get the logical xor of two variables,(bool(a) ^ bool(b))
1431,get the logical xor of two variables,"xor(bool(a), bool(b))"
1432,get the logical xor of two variables,return (bool(str1) ^ bool(str2))
1433,How to alphabetically sort array of dictionaries on single key?,my_list.sort(key=operator.itemgetter('name'))
1434,Python: Split string by list of separators,"re.split('\\s*,\\s*|\\s*;\\s*', 'a , b; cdf')"
1435,Python: Split string by list of separators,"[t.strip() for s in string.split(',') for t in s.split(';')]"
1436,lambda in python,"f = lambda x, y: x + y"
1437,Creating a list of objects in Python,instancelist = [MyClass() for i in range(29)]
1438,Python 2.7: making a dictionary object from a specially-formatted list object,"{f[i + 1]: [f[i], f[i + 2]] for i in range(0, len(f), 3)}"
1439,Shortest way to convert these bytes to int in python?,"struct.unpack('>q', s)[0]"
1440,How can I concatenate a Series onto a DataFrame with Pandas?,"pd.concat([students, pd.DataFrame(marks)], axis=1)"
1441,Custom Python list sorting,alist.sort(key=lambda x: x.foo)
1442,How to get only div with id ending with a certain value in Beautiful Soup?,soup.select('div[id$=_answer]')
1443,How can I solve system of linear equations in SymPy?,"linsolve(Matrix(([1, 1, 1, 1], [1, 1, 2, 3])), (x, y, z))"
1444,best way to extract subset of key-value pairs from python dictionary object,"{k: bigdict[k] for k in list(bigdict.keys()) & {'l', 'm', 'n'}}"
1445,best way to extract subset of key-value pairs from python dictionary object,"dict((k, bigdict[k]) for k in ('l', 'm', 'n'))"
1446,best way to extract subset of key-value pairs from python dictionary object,"{k: bigdict.get(k, None) for k in ('l', 'm', 'n')}"
1447,best way to extract subset of key-value pairs from python dictionary object,"{k: bigdict[k] for k in ('l', 'm', 'n')}"
1448,Get contents of entire page using Selenium,driver.page_source
1449,Extracting specific columns in numpy array,"data[:, ([1, 9])]"
1450,Remove string between 2 characters from text string,"re.sub('\\[.*?\\]', '', 'abcd[e]yth[ac]ytwec')"
1451,How can I resize the root window in Tkinter?,root.geometry('500x500')
1452,How to capture the entire string while using 'lookaround' with chars in regex?,"re.findall('\\b(?:b+a)+b+\\b', mystring)"
1453,in Python,str_list = [tuple('{0:.8e}'.format(flt) for flt in sublist) for sublist in lst]
1454,in Python,str_list = [['{0:.8e}'.format(flt) for flt in sublist] for sublist in lst]
1455,Getting the first elements per row in an array in Python?,t = tuple(x[0] for x in s)
1456,How to obtain the day of the week in a 3 letter format from a datetime object in python?,datetime.datetime.now().strftime('%a')
1457,"get the <a href=""http://en.wikipedia.org/wiki/ASCII"" rel=""nofollow noreferrer"">ASCII</a> value of a character as an int",ord('a')
1458,"get the <a href=""http://en.wikipedia.org/wiki/ASCII"" rel=""nofollow noreferrer"">ASCII</a> value of a character as an int",ord('\u3042')
1459,"get the <a href=""http://en.wikipedia.org/wiki/ASCII"" rel=""nofollow noreferrer"">ASCII</a> value of a character as an int",ord()
1460,decode JSON,json.load(u)
1461,Deleting mulitple columns in Pandas,"yourdf.drop(['columnheading1', 'columnheading2'], axis=1, inplace=True)"
1462,How to read formatted input in python?,"[s.strip() for s in input().split(',')]"
1463,Convert binary to list of digits Python,[int(d) for d in str(bin(x))[2:]]
1464,How to get a max string length in nested lists,max(len(word) for word in i)
1465,How to get a max string length in nested lists,"len(max(i, key=len))"
1466,Python: How to Redirect Output with Subprocess?,os.system(my_cmd)
1467,How do I sort a list of strings in Python?,mylist.sort(key=lambda x: x.lower())
1468,How do I sort a list of strings in Python?,mylist.sort(key=str.lower)
1469,How do I sort a list of strings in Python?,mylist.sort()
1470,How do I sort a list of strings in Python?,list.sort()
1471,set multi index of an existing data frame in pandas,"df.set_index(['Company', 'date'], inplace=True)"
1472,How can I use a string with the same name of an object in Python to access the object itself?,"getattr(your_obj, x)"
1473,Remove the first word in a Python string?,"s.split(' ', 1)[1]"
1474,How to save Xlsxwriter file in certain path?,workbook = xlsxwriter.Workbook('app/smth1/smth2/Expenses01.xlsx')
1475,How to save Xlsxwriter file in certain path?,workbook = xlsxwriter.Workbook('C:/Users/Steven/Documents/demo.xlsx')
1476,How to change legend size with matplotlib.pyplot,"pyplot.legend(loc=2, fontsize='x-small')"
1477,How to change legend size with matplotlib.pyplot,"plot.legend(loc=2, prop={'size': 6})"
1478,How do you split a list into evenly sized chunks?,"[l[i:i + n] for i in range(0, len(l), n)]"
1479,How do you split a list into evenly sized chunks?,"[l[i:i + n] for i in range(0, len(l), n)]"
1480,How to check if character exists in DataFrame cell,df['a'].str.contains('-')
1481,Python Regex - Remove special characters but preserve apostraphes,"re.sub(""[^\\w' ]"", '', ""doesn't this mean it -technically- works?"")"
1482,find all digits between a character in python,"print(re.findall('\\d+', '\n'.join(re.findall('\xab([\\s\\S]*?)\xbb', text))))"
1483,Use index in pandas to plot data,"monthly_mean.reset_index().plot(x='index', y='A')"
1484,How to get data from command line from within a Python program?,"subprocess.check_output('echo ""foo""', shell=True)"
1485,Easy way to convert a unicode list to a list containing python strings?,[x.encode('UTF8') for x in EmployeeList]
1486,pandas: combine two columns in a DataFrame,"pandas.concat([df['foo'].dropna(), df['bar'].dropna()]).reindex_like(df)"
1487,How can I generate a list of consecutive numbers?,list(range(9))
1488,"How to make a Python string out of non-ascii ""bytes""",""""""""""""".join(chr(i) for i in myintegers)"
1489,Using inheritance in python,"super(Executive, self).__init__(*args)"
1490,Removing items from unnamed lists in Python,[item for item in my_sequence if item != 'item']
1491,randomly select an item from a list,random.choice(foo)
1492,Python Check if all of the following items is in a list,"set(['a', 'b']).issubset(['a', 'b', 'c'])"
1493,Python Check if all of the following items is in a list,"set(['a', 'b']).issubset(set(l))"
1494,pass a string into subprocess.Popen,"p = Popen(['grep', 'f'], stdout=PIPE, stdin=PIPE, stderr=STDOUT)\ngrep_stdout = p.communicate(input='one\ntwo\nthree\nfour\nfive\nsix\n')[0]"
1495,pass a string into subprocess.Popen,"p = subprocess.Popen(['grep', 'f'], stdout=subprocess.PIPE, stdin=subprocess.PIPE)\np.stdin.write('one\ntwo\nthree\nfour\nfive\nsix\n')\np.communicate()[0]\np.stdin.close()"
1496,Most pythonic way to convert a list of tuples,[list(t) for t in zip(*list_of_tuples)]
1497,Most pythonic way to convert a list of tuples,zip(*list_of_tuples)
1498,simple/efficient way to expand a pandas dataframe,"pd.merge(y, x, on='k')[['a', 'b', 'y']]"
1499,Splitting string and removing whitespace Python,"[item.strip() for item in my_string.split(',')]"
1500,Get all object attributes,print((obj.__dict__))
1501,Get all object attributes,dir()
1502,Get all object attributes,dir()
1503,How to center a window with PyGObject,window.set_position(Gtk.WindowPosition.CENTER)
1504,how to change the size of the sci notation above the y axis in matplotlib?,"plt.rc('font', **{'size': '30'})"
1505,Python pandas: check if any value is NaN in DataFrame,df.isnull().values.any()
1506,Python - use list as function parameters,some_func(*params)
1507,How to decode encodeURIComponent in GAE (python)?,urllib.parse.unquote(h.path.encode('utf-8')).decode('utf-8')
1508,Percentage match in pandas Dataframe,(trace_df['ratio'] > 0).mean()
1509,How to convert a tuple to a string in Python?,emaillist = '\n'.join(item[0] for item in queryresult)
1510,How to convert a tuple to a string in Python?,[item[0] for item in queryresult]
1511,How to convert a tuple to a string in Python?,emaillist = '\n'.join([item[0] for item in queryresult])
1512,Python get focused entry name,"print(('focus object class:', window2.focus_get().__class__))"
1513,How to declare an array in python,a = [0] * 10000
1514,How can I remove duplicate words in a string with Python?,"print(' '.join(sorted(set(words), key=words.index)))"
1515,How to generate random numbers that are different?,"random.sample(range(1, 50), 6)"
1516,How to generate random numbers that are different?,"random.sample(range(1, 50), 6)"
1517,Dictionary to lowercase in Python,"{k.lower(): v.lower() for k, v in list({'My Key': 'My Value'}.items())}"
1518,Dictionary to lowercase in Python,"dict((k.lower(), v) for k, v in {'My Key': 'My Value'}.items())"
1519,Dictionary to lowercase in Python,"dict((k.lower(), v.lower()) for k, v in {'My Key': 'My Value'}.items())"
1520,sorting list of list in python,[sorted(item) for item in data]
1521,Is there a way to get a list of column names in sqlite?,"names = list(map(lambda x: x[0], cursor.description))"
1522,finding out absolute path to a file from python,os.path.abspath(__file__)
1523,how to sort 2d array by row in python?,"sorted(matrix, key=itemgetter(1))"
1524,Finding index of the same elements in a list,"[index for index, letter in enumerate(word) if letter == 'e']"
1525,How to print container object with unicode-containing values?,print(str(x).decode('raw_unicode_escape'))
1526,Python regular expressions - how to capture multiple groups from a wildcard expression?,"re.findall('\\w', 'abcdefg')"
1527,check whether a file exists,os.path.isfile(fname)
1528,check whether a file exists,my_file = Path('/path/to/file')\nif my_file.is_file():\n    pass
1529,check whether a file exists,os.path.exists(file_path)
